위도,경도,지번주소,도로명주소,이름,확률,index
37.64870523,127.0661063,서울특별시 노원구 중계동 515-4,서울특별시 노원구 동일로210길 22,nozip,,0
37.64888219,127.0663643,서울특별시 노원구 중계동 515-4,서울특별시 노원구 동일로210길 86,nozip,,0
37.64854595,127.0661187,서울특별시 노원구 중계동 515-4,서울특별시 노원구 동일로210길 22,nozip,,0
37.64858385,127.0659871,서울특별시 노원구 중계동 515-4,서울특별시 노원구 동일로210길 22,nozip,,0
37.64891073,127.0662428,서울특별시 노원구 중계동 515-4,서울특별시 노원구 동일로210길 86,nozip,,0
37.64882437,127.0663106,서울특별시 노원구 중계동 515-4,서울특별시 노원구 덕릉로 541,nozip,,0
37.64870523,127.0669163,서울특별시 노원구 중계동 515-4,서울특별시 노원구 덕릉로 541,nozip,,1
37.64869909,127.0666813,서울특별시 노원구 중계동 515-4,서울특별시 노원구 덕릉로 541,nozip,,1
37.64900507,127.0668563,서울특별시 노원구 중계동 515-4,서울특별시 노원구 동일로210길 86,nozip,,1
37.64899634,127.0667977,서울특별시 노원구 중계동 515-4,서울특별시 노원구 동일로210길 86,nozip,,1
37.64877084,127.0666555,서울특별시 노원구 중계동 515-4,서울특별시 노원구 덕릉로 541,nozip,,1
37.64845122,127.0670073,서울특별시 노원구 중계동 515-4,서울특별시 노원구 덕릉로 541,nozip,,1
37.64870523,127.0677263,서울특별시 노원구 중계동 515-1,서울특별시 노원구 덕릉로 553,민정학원,,2
37.6488679,127.0679975,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,2
37.64862789,127.0679702,서울특별시 노원구 중계동 515-1,서울특별시 노원구 덕릉로 553,민정학원,,2
37.64893581,127.0675566,서울특별시 노원구 중계동 515-1,서울특별시 노원구 덕릉로 541,상명초등학교,,2
37.64870411,127.0680072,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,2
37.64882312,127.0673617,서울특별시 노원구 중계동 515-1,서울특별시 노원구 덕릉로 541,상명초등학교,,2
37.64933523,127.0636763,서울특별시 노원구 상계동 758,서울특별시 노원구 동일로214길 21,상계주공4단지아파트,,3
37.64927374,127.0638332,서울특별시 노원구 상계동 758,서울특별시 노원구 동일로214길 32,한국성서대학교,,3
37.64945523,127.0637028,서울특별시 노원구 상계동 751-1,서울특별시 노원구 동일로214길 21,상계주공4단지아파트,,3
37.64938712,127.0636133,서울특별시 노원구 상계동 758,서울특별시 노원구 동일로214길 21,상계주공4단지아파트,,3
37.64928499,127.06353,서울특별시 노원구 상계동 758,서울특별시 노원구 동일로214길 21,상계주공4단지아파트,,3
37.64912911,127.063275,서울특별시 노원구 상계동 760,서울특별시 노원구 동일로 1342,상계백병원,,3
37.64933523,127.0644863,서울특별시 노원구 상계동 205-4,서울특별시 노원구 동일로214길 32,한국성서대학교,,4
37.64957641,127.0644751,서울특별시 노원구 상계동 758,서울특별시 노원구 동일로214길 21,상계주공4단지아파트,,4
37.6490782,127.0647689,서울특별시 노원구 상계동 205-4,서울특별시 노원구 동일로214길 32,한국성서대학교,,4
37.64905218,127.0643481,서울특별시 노원구 상계동 760,서울특별시 노원구 동일로214길 32,한국성서대학교,,4
37.64915638,127.0647393,서울특별시 노원구 상계동 205-4,서울특별시 노원구 동일로214길 32,한국성서대학교,,4
37.64948126,127.0643405,서울특별시 노원구 상계동 758,서울특별시 노원구 동일로214길 21,상계주공4단지아파트,,4
37.64933523,127.0652963,서울특별시 노원구 상계동 759,서울특별시 노원구 동일로 1322-70,nozip,,5
37.64952392,127.0653115,서울특별시 노원구 상계동 759,서울특별시 노원구 동일로 1322-70,nozip,,5
37.64935969,127.0656341,서울특별시 노원구 상계동 205-1,서울특별시 노원구 동일로 1322-70,"청년가게(달, 빛)",,5
37.64905268,127.0653128,서울특별시 노원구 상계동 205-1,서울특별시 노원구 동일로214길 32,한국성서대학교,,5
37.64904815,127.0656293,서울특별시 노원구 중계동 467-2,서울특별시 노원구 동일로 1322-70,nozip,,5
37.6493279,127.0652034,서울특별시 노원구 상계동 759,서울특별시 노원구 동일로214길 32,nozip,,5
37.64933523,127.0661063,서울특별시 노원구 중계동 467-2,서울특별시 노원구 동일로 1322-70,nozip,,6
37.64905841,127.0658055,서울특별시 노원구 중계동 467-2,서울특별시 노원구 동일로 1322-70,nozip,,6
37.64954943,127.0660849,서울특별시 노원구 상계동 205-1,서울특별시 노원구 동일로 1322-70,"청년가게(달, 빛)",,6
37.64946651,127.0660481,서울특별시 노원구 중계동 467-2,서울특별시 노원구 동일로 1322-70,nozip,,6
37.64960055,127.0659024,서울특별시 노원구 상계동 225-1,서울특별시 노원구 동일로 1322-70,nozip,,6
37.64950027,127.0658406,서울특별시 노원구 상계동 205-1,서울특별시 노원구 동일로 1322-70,"청년가게(달, 빛)",,6
37.64933523,127.0669163,서울특별시 노원구 중계동 515-5,서울특별시 노원구 동일로210길 86,상계충전소,,7
37.64956024,127.0666164,서울특별시 노원구 중계동 454-10,서울특별시 노원구 동일로210길 86,nozip,,7
37.64906875,127.0669327,서울특별시 노원구 중계동 515-5,서울특별시 노원구 동일로210길 86,상계충전소,,7
37.64935093,127.0672122,서울특별시 노원구 중계동 515-5,서울특별시 노원구 동일로210길 86,상계충전소,,7
37.64949018,127.0671668,서울특별시 노원구 중계동 515-5,서울특별시 노원구 동일로210길 86,상계충전소,,7
37.64946127,127.0671466,서울특별시 노원구 중계동 515-5,서울특별시 노원구 동일로210길 86,상계충전소,,7
37.64933523,127.0677263,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,8
37.64931609,127.0673913,서울특별시 노원구 중계동 515,서울특별시 노원구 동일로210길 86,상계충전소,,8
37.64950896,127.067594,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,8
37.64930558,127.0677787,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,8
37.6490322,127.0673278,서울특별시 노원구 중계동 515-1,서울특별시 노원구 덕릉로 541,상명초등학교,,8
37.64950019,127.0676284,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,8
37.64933523,127.0685363,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,9
37.64933564,127.068166,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,9
37.64938568,127.068655,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,9
37.64947728,127.068227,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,9
37.64934708,127.068923,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,9
37.64904523,127.0688712,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,9
37.64933523,127.0693463,서울특별시 노원구 중계동 514-5,서울특별시 노원구 덕릉로 553,민정학원,,10
37.64920272,127.0696098,서울특별시 노원구 중계동 514-5,서울특별시 노원구 덕릉로 553,민정학원,,10
37.6493945,127.0692264,서울특별시 노원구 중계동 514-5,서울특별시 노원구 덕릉로 553,민정학원,,10
37.64963385,127.0694491,서울특별시 노원구 중계동 421-67,서울특별시 노원구 덕릉로71길 5,성원아파트,,10
37.64945782,127.0689479,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,민정학원,,10
37.64920262,127.0692967,서울특별시 노원구 중계동 514-6,서울특별시 노원구 덕릉로 553,민정학원,,10
37.64933523,127.0701563,서울특별시 노원구 중계동 360-18,서울특별시 노원구 덕릉로71길 5,성원아파트,,11
37.64923775,127.0702673,서울특별시 노원구 중계동 360-18,서울특별시 노원구 덕릉로71길 5,성원아파트,,11
37.64952138,127.0699858,서울특별시 노원구 중계동 370,서울특별시 노원구 덕릉로71길 5,성원아파트,,11
