위도,경도,지번주소,도로명주소
37.673399,127.054256,서울특별시 노원구 상계동 1044,서울특별시 노원구 동일로231길 24
37.67344739,127.0540453,서울특별시 노원구 상계동 1044,서울특별시 노원구 동일로231길 24
37.67357817,127.0542423,서울특별시 노원구 상계동 1044,서울특별시 노원구 동일로231길 24
37.67315577,127.0543248,서울특별시 노원구 상계동 1044,서울특별시 노원구 동일로231길 24
37.6732094,127.0544975,서울특별시 노원구 상계동 1044-2,서울특별시 노원구 동일로 1625
37.67327109,127.0544341,서울특별시 노원구 상계동 1044-2,서울특별시 노원구 동일로 1625
37.673399,127.055066,서울특별시 노원구 상계동 1044-2,서울특별시 노원구 동일로 1625
37.67308898,127.0549085,서울특별시 노원구 상계동 1044-2,서울특별시 노원구 동일로 1619-4
37.67312636,127.0548534,서울특별시 노원구 상계동 1044-2,서울특별시 노원구 동일로 1625
37.67330106,127.0553122,서울특별시 노원구 상계동 1044-2,서울특별시 노원구 동일로 1625
37.67333308,127.054787,서울특별시 노원구 상계동 1044-2,서울특별시 노원구 동일로 1625
37.67367924,127.0547483,서울특별시 노원구 상계동 1044-2,서울특별시 노원구 동일로 1625
37.673399,127.055876,서울특별시 노원구 상계동 1025-40,서울특별시 노원구 동일로 1624
37.67335105,127.0562199,서울특별시 노원구 상계동 1023-11,서울특별시 노원구 동일로234길 13
37.67340784,127.0558159,서울특별시 노원구 상계동 1025-40,서울특별시 노원구 동일로 1624
37.67312809,127.0562531,서울특별시 노원구 상계동 1023-11,서울특별시 노원구 동일로234길 5
37.6735105,127.0560727,서울특별시 노원구 상계동 1025-34,서울특별시 노원구 동일로 1626
37.67346564,127.0556101,서울특별시 노원구 상계동 1118-9,서울특별시 노원구 동일로 1624
37.674029,127.051826,서울특별시 노원구 상계동 1094-5,서울특별시 노원구 동일로237길 68-16
37.67399556,127.0520161,서울특별시 노원구 상계동 1060-1,서울특별시 노원구 동일로237마길 12
37.67379875,127.0520501,서울특별시 노원구 상계동 1054-22,서울특별시 노원구 동일로237마길 8
37.67386865,127.052004,서울특별시 노원구 상계동 1060-1,서울특별시 노원구 동일로237마길 10
37.6739253,127.052199,서울특별시 노원구 상계동 1054-19,서울특별시 노원구 동일로237라길 9
37.67408999,127.0520027,서울특별시 노원구 상계동 1060-1,서울특별시 노원구 동일로237라길 19
37.674029,127.052636,서울특별시 노원구 상계동 1048-51,서울특별시 노원구 동일로237다길 11
37.67402305,127.0524343,서울특별시 노원구 상계동 1051-4,서울특별시 노원구 동일로237라길 16
37.67379816,127.0527243,서울특별시 노원구 상계동 1048-51,서울특별시 노원구 동일로237다길 6
37.67416895,127.0528013,서울특별시 노원구 상계동 1048-73,서울특별시 노원구 동일로237다길 16
37.67372592,127.0529231,서울특별시 노원구 상계동 1048-6,서울특별시 노원구 동일로237길 46
37.6738521,127.0529094,서울특별시 노원구 상계동 1048-81,서울특별시 노원구 동일로237다길 6
37.674029,127.053446,서울특별시 노원구 상계동 1049-43,서울특별시 노원구 동일로237나길 9
