,위도,경도
0,37.673398999999996,127.054256
0,37.67336176757132,127.05414512421117
0,37.67313966352039,127.05436170690353
0,37.67342800662477,127.05394721734368
0,37.67336635458889,127.05386118629436
0,37.67330639031409,127.05457317334873
1,37.673398999999996,127.055066
1,37.67335612618261,127.05500434632646
1,37.67312689587779,127.05489968418038
1,37.6734997787962,127.05539150376043
1,37.67368979310399,127.05542296131519
1,37.67341123199189,127.05481143598563
2,37.673398999999996,127.055876
2,37.673434040868734,127.05584154707886
2,37.673698059737966,127.05620343947928
2,37.6732946829968,127.05601168003027
2,37.673241846721666,127.05615382195917
2,37.67357507742942,127.05598751453303
3,37.674029,127.05182599999999
3,37.67414640276524,127.05151163304075
3,37.67398413867881,127.05169338887775
3,37.67432760617927,127.0521696250238
3,37.67377007174904,127.05153853143541
3,37.67423253090793,127.05209381057158
4,37.674029,127.05263599999999
4,37.67432881253144,127.05277921269975
4,37.673794842011006,127.05300919923633
4,37.67405750979129,127.05296253823094
4,37.674247820129196,127.0527339880964
4,37.674117682314424,127.05273238089829
5,37.674029,127.053446
5,37.674284090327234,127.05318780561329
5,37.67411949627864,127.05323312774938
5,37.674251978402566,127.05336184405095
5,37.674226143808035,127.05354671974023
5,37.67388984299023,127.0530711071645
6,37.674029,127.054256
6,37.67431106971171,127.05435785402075
6,37.674226018960944,127.0539437747846
6,37.67399672162712,127.05452574787392
6,37.6743025093032,127.05439151582057
6,37.674196677922076,127.05404664989496
7,37.674029,127.055066
7,37.674178201075776,127.05475795008302
7,37.67390824680231,127.05509265092027
7,37.67372250993488,127.0551384482872
7,37.673894849095554,127.05517124552449
7,37.67379054040801,127.0547996477146
8,37.674029,127.055876
8,37.67384651087133,127.05622871274043
8,37.67405315652877,127.05607649814476
8,37.67400986450438,127.05615359544603
8,37.67417019196967,127.05615507103461
8,37.67400744310356,127.05595096546098
9,37.674029,127.056686
9,37.67406482536825,127.05632124157513
9,37.674179921622674,127.0566892067455
9,37.674251282880725,127.05629359286412
9,37.67402830735374,127.05702677911623
9,37.67402202181665,127.0566903855545
10,37.674029,127.057496
10,37.67377271222016,127.0571917183862
10,37.674195471759326,127.05766908533519
10,37.673764751523755,127.05724022536737
10,37.6740257328003,127.05743193270304
10,37.674138454073734,127.05710756140985
11,37.674029,127.058306
11,37.673756071013486,127.05829353065909
11,37.674112194434315,127.0580876093629
11,37.67426594178977,127.0580809298689
11,37.674070034990606,127.05851876081348
11,37.673887051179534,127.05851019717066
12,37.674659,127.050206
12,37.67465643052735,127.04982413688836
12,37.674634431780426,127.05000279234034
12,37.67479728903184,127.04985425752284
12,37.674754604278036,127.04999071661256
12,37.67444182564932,127.05003479493287
13,37.674659,127.05101599999999
13,37.67455529242242,127.05134310710713
13,37.67478352990585,127.050932944499
13,37.674523927174455,127.0510064201469
13,37.674509999737715,127.05121597209498
13,37.67439466151973,127.05110057418949
14,37.674659,127.05182599999999
14,37.6747488968509,127.05191800991237
14,37.67482642647162,127.05221130043736
14,37.67453410963538,127.05209763864202
14,37.67484770328526,127.05181403332894
14,37.67487628917539,127.05169515447976
15,37.674659,127.05263599999999
15,37.6745638699958,127.05281044355684
15,37.67487323955137,127.05270322550618
15,37.674432326204276,127.05244358628985
15,37.674861007776485,127.05223454413165
15,37.67439258123801,127.05247741704936
16,37.674659,127.053446
16,37.674867617687276,127.0533781877186
16,37.67480583781379,127.05367617140222
16,37.67491271128658,127.05382269585802
16,37.67470720914581,127.05321439415438
16,37.674943694755385,127.05313407485733
17,37.674659,127.054256
17,37.67478850264105,127.05425491069535
17,37.67464945518052,127.05461302005502
17,37.67495373959549,127.05439155872051
17,37.6744647732978,127.05443516077219
17,37.67439248216313,127.05454179506567
18,37.674659,127.055066
18,37.67491026749413,127.05537112380311
18,37.674831353309926,127.05517212341645
18,37.674552437249126,127.05541514718577
18,37.6749638902409,127.05490285352192
18,37.67476246034519,127.05468424963645
19,37.674659,127.055876
19,37.674697944608525,127.05612037315815
19,37.6743993247048,127.0556560275475
19,37.674413821301364,127.05597947027182
19,37.67490010954944,127.05620773330422
19,37.67454434057008,127.05588553552523
20,37.674659,127.056686
20,37.674687869277584,127.05681185260798
20,37.67463893402583,127.05661308779523
20,37.674415085751235,127.05687045835795
20,37.674399783961725,127.0565330075807
20,37.67448937468747,127.05682146859216
21,37.674659,127.057496
21,37.67477841838273,127.05783704593571
21,37.67439531786336,127.05760064564375
21,37.67442684218911,127.05736850570885
21,37.674805583615836,127.05784929001463
21,37.67455967307167,127.05714044518169
22,37.674659,127.058306
22,37.67451281721102,127.05808573906413
22,37.67474898243582,127.0584157560899
22,37.67472198806453,127.05852441566573
22,37.67446295688433,127.05854399611651
22,37.674921052716414,127.05816280880829
23,37.674659,127.059116
23,37.67482976424713,127.05909465203099
23,37.67434769295692,127.05950881667574
23,37.67457309306025,127.05948239935724
23,37.674871742521084,127.05901773138663
23,37.67470703414336,127.05943387662491
24,37.674659,127.05992599999999
24,37.67467029078499,127.06003903065132
24,37.674680346231206,127.05960180324203
24,37.67464327581956,127.05975964729011
24,37.67492053684709,127.05985253093299
24,37.67472384199336,127.05996628768392
25,37.675289,127.049396
25,37.675265829116036,127.04959145049645
25,37.675299767152985,127.04914079824137
25,37.67514345140065,127.04924480775418
25,37.67532532820339,127.04963125522191
25,37.67529497726001,127.04978111580049
26,37.675289,127.050206
26,37.6753193455085,127.0504612863836
26,37.675121907334905,127.05060238817222
26,37.675342974615816,127.05057012835731
26,37.6751396474053,127.05020911605662
26,37.675147209271934,127.05039260563379
27,37.675289,127.05101599999999
27,37.67555130865179,127.05133630039747
27,37.67533641424568,127.05090157605072
27,37.67540887800551,127.05088419407055
27,37.67533235508428,127.05108422763378
27,37.67533870959452,127.05130603454123
28,37.675289,127.05182599999999
28,37.67539802524616,127.05165054233417
28,37.67521666633376,127.05157512057538
28,37.67538210676065,127.05152964430877
28,37.67539269003048,127.05222871709468
28,37.67542311019244,127.05198551226384
29,37.675289,127.05263599999999
29,37.67518863903899,127.05239594866467
29,37.67498027610468,127.05256880116119
29,37.67511704763805,127.05231074921588
29,37.675403923398264,127.05278320483696
29,37.67555277729589,127.05266240555163
30,37.675289,127.053446
30,37.67557246661264,127.05357862352707
30,37.675578942996644,127.05348266112962
30,37.67505817650787,127.05305621249592
30,37.675520609190905,127.05381745438275
30,37.675025250156594,127.05328979348037
31,37.675289,127.054256
31,37.67514962596073,127.05395537182578
31,37.67529617353984,127.05418874585514
31,37.67528431636503,127.0542355662215
31,37.67538821883987,127.05389506571758
31,37.67534895439653,127.05426203709148
32,37.675289,127.055066
32,37.67506384239233,127.05543235342671
32,37.675034269032984,127.05504309984117
32,37.67509531516528,127.0553175460323
32,37.6751119714735,127.05501283455547
32,37.67536335886846,127.05510219023297
33,37.675289,127.055876
33,37.67511327364501,127.05572534049188
33,37.67533154526388,127.05590567211992
33,37.67542368222317,127.05563540155683
33,37.67499934004771,127.05619865380466
33,37.67504142852641,127.05614428039253
34,37.675289,127.056686
34,37.67511091646933,127.05634480891031
34,37.675594369473444,127.0567230932963
34,37.675352933256406,127.05665296881173
34,37.67509087696478,127.05630344931213
34,37.6753071125907,127.05642897248048
35,37.675289,127.057496
35,37.67505362594226,127.05754210806778
35,37.67526628501259,127.05711813499869
35,37.67533210493915,127.05734349499032
35,37.67516645192669,127.05758790419885
35,37.67540170954727,127.05749940879744
36,37.675289,127.058306
36,37.67552266471709,127.05830527752892
36,37.67551167413533,127.058435248882
36,37.67505776304323,127.05865342884421
36,37.67531178127111,127.05827010473038
36,37.675448961118846,127.05863499914132
37,37.675289,127.059116
37,37.675091334144135,127.0591233031485
37,37.67512945495814,127.05913583350764
37,37.67554137178594,127.05942748708772
37,37.675110678466154,127.05935062775451
37,37.67558387934257,127.0590769749083
38,37.675289,127.05992599999999
38,37.675239854103616,127.05985073571352
38,37.675328032454914,127.06000923171108
38,37.67554170179339,127.05965073186678
38,37.675208109989654,127.06016765000228
38,37.675059173216255,127.0596568811172
39,37.675289,127.06073599999999
39,37.67514923312295,127.06074723046135
